original_composition,status,material_id,e_above_hull,saved_filename
Li2OHBr,Success,mp-753690,0.0,Li2OHBr_mp-753690.cif
Li2.4OH0.6Cl,Success,mp-1120754,0.0,Li2.4OH0.6Cl_mp-1120754.cif
Li2.1OH0.9Cl,Success,mp-1120754,0.0,Li2.1OH0.9Cl_mp-1120754.cif
Li2OHCl,Success,mp-1120754,0.0,Li2OHCl_mp-1120754.cif
Li2.7OH0.3Cl,Success,mp-1120754,0.0,Li2.7OH0.3Cl_mp-1120754.cif
Li6PO5Cl,Success,mp-1104386,0.006714863269232,Li6PO5Cl_mp-1104386.cif
Li7La3Zr2O12,Success,mp-942733,0.006846009531249001,Li7La3Zr2O12_mp-942733.cif
Li3.4Si0.4P0.6S4,Success,mp-720509,0.006719743,Li3.4Si0.4P0.6S4_mp-720509.cif
Li6.4La3Zr1.4Ta0.6O12,Not Found,,,
Li7.06La3Zr1.94Y0.06O12,Not Found,,,
 Li6.4Al0.19La3Zr2O11.8,Not Found,,,
La0.57Li0.29TiO3,Success,mp-9406,0.020434331617655,La0.57Li0.29TiO3_mp-9406.cif
Li6.5La3Zr1.75Te0.25O12,Not Found,,,
Li9.6P3S12,Success,mp-985583,0.0,Li9.6P3S12_mp-985583.cif
Li1.3Al0.3Ti1.7(PO4)3,Not Found,,,
Li1.2Ti1.8Sc0.2(PO4)3,Success,mp-695286,0.628393627136075,Li1.2Ti1.8Sc0.2(PO4)3_mp-695286.cif
Li1.6Al0.6Ge0.8(PO4)3,Not Found,,,
Li6.55La3Zr2Ga0.9O12,Not Found,,,
LiTi2(PO4)3,Success,mp-18640,0.0,LiTi2(PO4)3_mp-18640.cif
Li9.54Si1.74P1.44S11.7Cl0.3,Success,mp-1097035,0.030538372299999002,Li9.54Si1.74P1.44S11.7Cl0.3_mp-1097035.cif
Li10GeP2S12,Success,mp-696138,0.0187605339,Li10GeP2S12_mp-696138.cif
Li7P3S11,Success,mp-641703,0.019883183531745,Li7P3S11_mp-641703.cif
Li1.4Al0.4Ti1.6(PO4)3,Not Found,,,
Li6.46Al0.15La3Zr1.95O11.86,Not Found,,,
Li3.25Ge0.25P0.75S4,Success,mp-696138,0.0187605339,Li3.25Ge0.25P0.75S4_mp-696138.cif
Li6.5La2.9Ba0.1Zr1.4Ta0.6O12,Not Found,,,
Li6.5La3Zr1.5Ta0.5O12,Not Found,,,
La0.55Li0.361Ti0.995Al0.005O3,Not Found,,,
La0.55Li0.36Ti0.992Al0.008O3,Not Found,,,
Li0.022 La0.117 Ti0.208 Al0.001 O0.626,Not Found,,,
Li0.24La0.59TiO3,Success,mp-9406,0.020434331617655,Li0.24La0.59TiO3_mp-9406.cif
Li0.33La0.56Ti0.96Al0.04O2.96F0.04,Not Found,,,
"""(Li2S)0.5 ((P2S5)0.4 (Sb2S3)0.6)0.5""",Not Found,,,
"""(Li2S)0.3 ((P2S5)0.4 (Sb2S3)0.6)0.7""",Not Found,,,
"""(Li2S)0.4 ((P2S5)0.4 (Sb2S3)0.6)0.6""",Not Found,,,
Li6.25Ba1.25La1.75Ta2O12,Not Found,,,
Li5La3Ta2O12,Success,mp-559776,0.294818232386356,Li5La3Ta2O12_mp-559776.cif
LiP0.9I0.1O2.7,Not Found,,,
"""(LiCl)0.5 (P2O5)0.5""",Not Found,,,
Li0.5La0.5TiO3,Success,mp-9406,0.020434331617655,Li0.5La0.5TiO3_mp-9406.cif
"""(Li2O)50 (Al2O3)2 (P2O5)48""",Not Found,,,
"""(Li2O)50 (Al2O3)3 (P2O5)47""",Not Found,,,
"""(Li2O)50 (Al2O3)4 (P2O5)46""",Not Found,,,
"""(LiI)0.3 ((Li2S)0.3 ((Ga2S3)0.1 (GeS2)0.9)0.7)0.7""",Not Found,,,
"""(Li2S)0.3 ((Ga2S3)0.1 (GeS2)0.9)0.7""",Not Found,,,
"""(Li2S)0.7 (P2S5)0.3""",Not Found,,,
"""(Li2S)0.8 (P2S5)0.2""",Not Found,,,
"""(Li2S)0.875 (P2S5)0.125""",Not Found,,,
"""(LiCl)0.25 ((Li2O)0.6 (P2O5)0.4)0.75""",Not Found,,,
